sample	Basal	Her2	LumA	LumB	Normal	Call	Confidence	ROR-S (Subtype Only)	ROR-S Group (Subtype Only)	Proliferation Score	ROR-P (Subtype + Proliferation)	ROR-P Group (Subtype + Proliferation)	ER	Her2_1
GBX.DISC.PCA108	0.0513325330132053	0.0251140456182473	-0.0938775510204082	-0.164177671068427	0.0441296518607443	Basal	0.28	42.9453407001765	med	0.164887363078351	48.0397301453129	med	-0.0481696689929368	-0.111787802549991
GBX.DISC.PCA109	-0.218631452581032	0.149675870348139	-0.130372148859544	0.351644657863145	-0.367875150060024	LumB	0.99	53.5732706187981	high	0.251283462783958	55.9277422757301	high	1.52223447681672	1.74932686076786
GBX.DISC.PCA11	-0.247731092436975	-0.122304921968788	0.224009603841537	0.201536614645858	0.0352941176470588	LumA	0.88	32.239563867693	med	-0.367462962499232	24.2357416234094	med	0.7059495712133	-1.27200664669826
GBX.DISC.PCA110	0.0700600240096038	0.218247298919568	-0.116830732292917	0.195198079231693	-0.0942617046818728	LumB	0.87	52.8315808264953	med	0.0871043940504271	48.8563546776144	med	-1.02105542333931	-0.136829800645799
GBX.DISC.PCA111	0.131620648259304	-0.402256902761104	0.178199279711885	-0.347322929171669	0.304393757503001	LumA	0.97	22.7337479882494	low	-0.291057763944431	22.283250239785	med	0.271250026210233	0.934771789019576
GBX.DISC.PCA112	-0.338583433373349	0.213829531812725	0.0869627851140456	0.26031212484994	-0.201824729891957	LumB	0.93	43.383535639743	med	0.0575109055730581	45.7832586299334	med	0.54510032400444	0.146519019725014
GBX.DISC.PCA113	-0.131428571428571	-0.149963985594238	0.381800720288115	-0.284897959183673	0.302761104441777	LumA	0.99	17.7350244098581	low	-0.76011894993337	3.76980686624334	low	-0.848521743623746	1.22170858603766
GBX.DISC.PCA114	0.317647058823529	0.0211764705882353	-0.336950780312125	0.107995198079232	-0.171860744297719	Basal	0.97	58.834090889457	high	0.683029019911788	72.9146322826901	high	1.33179222169709	-1.0445766618107999
GBX.DISC.PCA115	-0.110876350540216	0.0750540216086435	-0.0283793517406963	0.144873949579832	-0.161392557022809	LumB	0.69	45.3270350861662	med	0.414909211820265	59.4823858629798	high	-0.676374514475694	0.163171414099549
GBX.DISC.PCA116	-0.26280912364946	-0.237454981992797	0.390924369747899	0.0407683073229292	0.0633373349339736	LumA	0.99	20.8684686373561	low	-0.0183868734600686	34.3996095311977	med	0.172752157983614	-0.295890435251356
GBX.DISC.PCA117	0.0660264105642257	-0.0547899159663866	-0.0266506602641056	-0.252148859543818	0.13594237695078	Basal	0.65	37.5883638974084	med	-0.147446494288774	33.6853865143084	med	-0.0212765514757334	-1.80379397694261
GBX.DISC.PCA118	-0.0245378151260504	-0.400720288115246	0.402064825930372	-0.27452581032413	0.318607442977191	LumA	1	13.9200509909187	low	-0.388800109178485	16.3369206949971	med	0.0117567394254698	0.742562143063492
GBX.DISC.PCA119	-0.145738295318127	-0.134597839135654	0.289123649459784	0.0187755102040816	0.105978391356543	LumA	0.96	26.8091981019984	med	-0.514446139339958	16.480910489445	med	0.870948916250875	0.859462334363632
GBX.DISC.PCA12	0.100600240096038	0.150732292917167	-0.221416566626651	0.0469147659063625	-0.00917166866746699	Basal	0.7	53.8485486606313	high	0.136256945877363	50.5704863131594	med	0.984463595555202	-2.22721924848204
GBX.DISC.PCA120	-0.25234093637455	-0.123937575030012	0.246002400960384	0.0438415366146459	-0.0606482593037215	LumA	0.91	28.6442040637243	med	-0.561315337160543	15.3410699444847	med	0.494584146566118	1.31169590411488
GBX.DISC.PCA121	-0.0466266506602641	-0.118655462184874	0.10280912364946	0.0153181272509004	-0.0654501800720288	LumA	0.52	35.1995367544665	med	-0.161172015345797	32.734582998874	med	1.26135021525035	0.564885717953222
GBX.DISC.PCA122	-0.0229051620648259	0.0789915966386555	-0.109243697478992	0.122977190876351	-0.197214885954382	LumB	0.61	48.8064950208036	med	0.636665260484907	69.114326468025	high	-0.501861716513919	0.395174481247706
GBX.DISC.PCA123	0.00312124849939976	-0.158511404561825	0.0667947178871549	0.0103241296518607	0.200672268907563	LumA	0.84	36.2707995594096	med	0.378939198227175	54.2885625739204	high	0.829169204169079	-1.7554236616151
GBX.DISC.PCA124	-0.0776470588235294	-0.294021608643457	0.379783913565426	-0.299207683073229	0.265594237695078	LumA	0.99	15.7328458850646	low	-0.552117655194495	10.8137625169333	low	-1.29971888911091	1.10358165166893
GBX.DISC.PCA125	0.0769747899159664	-0.198079231692677	-0.0218487394957983	0.0264585834333733	-0.0541176470588235	Basal	0.41	40.0006507629122	med	-0.270008263793047	29.1999156050864	med	0.767362555804135	1.27167143321775
GBX.DISC.PCA126	0.0706362545018007	0.110588235294118	-0.131044417767107	0.0635294117647059	-0.0618967587034814	Basal	0.56	49.6429106133748	med	0.399516551236499	59.8159132626593	high	-0.369796152811421	0.37192873512054
GBX.DISC.PCA127	-0.0556542617046819	-0.040672268907563	0.10578631452581	0.101944777911164	0.0395198079231693	LumA	0.54	37.6237129441706	med	-0.264570767995619	29.7224704911123	med	-0.696076478081508	-0.227882127986169
